codigo_distrito;cod_ibge;distrito;regioes;codigo_subprefeitura;subprefeituras
80001;1;Água Rasa;Leste;25;Mooca
80002;2;Alto de Pinheiros;Oeste;11;Pinheiros
80003;3;Anhanguera;Norte;1;Perus
80004;4;Aricanduva;Leste;26;Aricanduva/Formosa/Carrão
80005;5;Artur Alvim;Leste;21;Penha
80006;6;Barra Funda;Oeste;8;Lapa
80007;7;Bela Vista;Centro;9;Sé
80008;8;Belém;Leste;25;Mooca
80009;9;Bom Retiro;Centro;9;Sé
80010;10;Brás;Leste;25;Mooca
80011;11;Brasilândia;Norte;3;Freguesia/Brasilândia
80012;12;Butantã;Oeste;10;Butantã
80013;13;Cachoeirinha;Norte;4;Casa Verde/Cachoeirinha
80014;14;Cambuci;Centro;9;Sé
80015;15;Campo Belo;Sul;14;Santo Amaro
80016;16;Campo Grande;Sul;14;Santo Amaro
80017;17;Campo Limpo;Sul;17;Campo Limpo
80018;18;Cangaiba;Leste;21;Penha
80019;19;Capão Redondo;Sul;17;Campo Limpo
80020;20;Carrão;Leste;26;Aricanduva/Formosa/Carrão
80021;21;Casa Verde;Norte;4;Casa Verde/Cachoeirinha
80022;22;Cidade Ademar;Sul;16;Cidade Ademar
80023;23;Cidade Dutra;Sul;19;Capela do Socorro
80024;24;Cidade Lider;Leste;27;Itaquera
80025;25;Cidade Tiradentes;Leste;31;Cidade Tiradentes
80026;26;Consolação;Centro;9;Sé
80027;27;Cursino;Sul;13;Ipiranga
80028;28;Ermelino Matarazzo;Leste;22;Ermelino Matarazzo
80029;29;Freguesia do Ó;Norte;3;Freguesia/Brasilândia
80030;30;Grajaú;Sul;19;Capela do Socorro
80031;31;Guaianases;Leste;28;Guaianases
80032;32;Moema;Sul;12;Vila Mariana
80033;33;Iguatemi;Leste;30;São Mateus
80034;34;Ipiranga;Sul;13;Ipiranga
80035;35;Itaim Bibi;Oeste;11;Pinheiros
80036;36;Itaim Paulista;Leste;24;Itaim Paulista
80037;37;Itaquera;Leste;27;Itaquera
80038;38;Jabaquara;Sul;15;Jabaquara
80039;39;Jaçanã;Norte;6;Jaçanã/Tremembé
80040;40;Jaguara;Oeste;8;Lapa
80041;41;Jaguaré;Oeste;8;Lapa
80042;42;Jaraguá;Norte;2;Pirituba
80043;43;Jardim Ângela;Sul;18;M'Boi Mirim
80044;44;Jardim Helena;Leste;23;São Miguel 
80045;45;Jardim Paulista;Oeste;11;Pinheiros
80046;46;Jardim São Luís;Sul;18;M'Boi Mirim
80047;47;José Bonifácio;Leste;27;Itaquera
80048;48;Lapa;Oeste;8;Lapa
80049;49;Liberdade;Centro;9;Sé
80050;50;Limão;Norte;4;Casa Verde/Cachoeirinha
80051;51;Mandaqui;Norte;5;Santana/Tucuruvi
80052;52;Marsilac;Sul;20;Parelheiros
80053;53;Mooca;Leste;25;Mooca
80054;54;Morumbi;Oeste;10;Butantã
80055;55;Parelheiros;Sul;20;Parelheiros
80056;56;Pari;Leste;25;Mooca
80057;57;Parque do Carmo;Leste;27;Itaquera
80058;58;Pedreira;Sul;16;Cidade Ademar
80059;59;Penha;Leste;21;Penha
80060;60;Perdizes;Oeste;8;Lapa
80061;61;Perus;Norte;1;Perus
80062;62;Pinheiros;Oeste;11;Pinheiros
80063;63;Pirituba;Norte;2;Pirituba
80064;64;Ponte Rasa;Leste;22;Ermelino Matarazzo
80065;65;Raposo Tavares;Oeste;10;Butantã
80066;66;República;Centro;9;Sé
80067;67;Rio Pequeno;Oeste;10;Butantã
80068;68;Sacomã;Sul;13;Ipiranga
80069;69;Santa Cecília;Centro;9;Sé
80070;70;Santana;Norte;5;Santana/Tucuruvi
80071;71;Santo Amaro;Sul;14;Santo Amaro
80072;72;São Lucas;Leste;29;Vila Prudente
80073;73;São Mateus;Leste;30;São Mateus
80074;74;São Miguel;Leste;23;São Miguel 
80075;75;São Rafael;Leste;30;São Mateus
80076;76;Sapopemba;Leste;32;Sapopemba
80077;77;Saúde;Sul;12;Vila Mariana
80078;78;Sé;Centro;9;Sé
80079;79;Socorro;Sul;19;Capela do Socorro
80080;80;Tatuapé;Leste;25;Mooca
80081;81;Tremembé;Norte;6;Jaçanã/Tremembé
80082;82;Tucuruvi;Norte;5;Santana/Tucuruvi
80083;83;Vila Andrade;Sul;17;Campo Limpo
80084;84;Vila Curuçá;Leste;24;Itaim Paulista
80085;85;Vila Formosa;Leste;26;Aricanduva/Formosa/Carrão
80086;86;Vila Guilherme;Norte;7;Vila Maria/Vila Guilherme
80087;87;Vila Jacuí;Leste;23;São Miguel 
80088;88;Vila Leopoldina;Oeste;8;Lapa
80089;89;Vila Maria;Norte;7;Vila Maria/Vila Guilherme
80090;90;Vila Mariana;Sul;12;Vila Mariana
80091;91;Vila Matilde;Leste;21;Penha
80092;92;Vila Medeiros;Norte;7;Vila Maria/Vila Guilherme
80093;93;Vila Prudente;Leste;29;Vila Prudente
80094;94;Vila Sônia;Oeste;10;Butantã
80095;95;São Domingos;Norte;2;Pirituba
80096;96;Lajeado;Leste;28;Guaianases
